Change Document Object,Object Value,Document Number,User,Date,Time,Transaction Code,Change number,Document Number,Created from Planned,Change Flag for Application Object,Language Key,3-Byte field,Data Filter Value for Data Aging
SETS,01060001P0001,885831,SAP_WFRT,2/26/2019,4:35:28 PM,,,,,U,EN,000,
SETS,01060001P0001,885834,SAP_WFRT,2/26/2019,4:35:30 PM,,,,,U,EN,000,
SETS,01060001P0001,885835,SAP_WFRT,2/26/2019,4:35:30 PM,,,,,U,EN,000,
SETS,01060001P0001,885837,SAP_WFRT,2/26/2019,4:35:30 PM,,,,,U,EN,000,
SETS,01060001P0001,885849,SAP_WFRT,2/26/2019,4:35:35 PM,,,,,U,EN,000,
SETS,01060001P0001,885850,SAP_WFRT,2/26/2019,4:35:35 PM,,,,,U,EN,000,
SETS,01060001P0001,885852,SAP_WFRT,2/26/2019,4:35:35 PM,,,,,U,EN,000,
SETS,01060001P0001,885861,SAP_WFRT,2/26/2019,4:35:39 PM,,,,,U,EN,000,
SETS,01060001P0001,885862,SAP_WFRT,2/26/2019,4:35:39 PM,,,,,U,EN,000,
SETS,01060001P0001,885864,SAP_WFRT,2/26/2019,4:35:40 PM,,,,,U,EN,000,
SETS,01060001P0001,885865,SAP_WFRT,2/26/2019,4:35:40 PM,,,,,U,EN,000,
SETS,01060001P0001,885867,SAP_WFRT,2/26/2019,4:35:40 PM,,,,,U,EN,000,
SETS,01060001P0001,885877,SAP_WFRT,2/26/2019,4:35:44 PM,,,,,U,EN,000,
SETS,01060001P0001,885879,SAP_WFRT,2/26/2019,4:35:44 PM,,,,,U,EN,000,
SETS,01060001P0001,885880,SAP_WFRT,2/26/2019,4:35:44 PM,,,,,U,EN,000,
SETS,01060001P0001,885927,SAP_WFRT,2/26/2019,4:36:00 PM,,,,,U,EN,000,
SETS,01060001P0001,885928,SAP_WFRT,2/26/2019,4:36:00 PM,,,,,U,EN,000,
SETS,01060001P0001,885930,SAP_WFRT,2/26/2019,4:36:01 PM,,,,,U,EN,000,
SETS,01060001P0001,885931,SAP_WFRT,2/26/2019,4:36:01 PM,,,,,U,EN,000,
SETS,01060001P0001,885933,SAP_WFRT,2/26/2019,4:36:01 PM,,,,,U,EN,000,
SETS,01060001P0001,885969,SAP_WFRT,2/26/2019,4:36:13 PM,,,,,U,EN,000,
SETS,01060001P0001,885970,SAP_WFRT,2/26/2019,4:36:13 PM,,,,,U,EN,000,
SETS,01060001P0001,885972,SAP_WFRT,2/26/2019,4:36:13 PM,,,,,U,EN,000,
SETS,01060001P0001,885973,SAP_WFRT,2/26/2019,4:36:14 PM,,,,,U,EN,000,
SETS,01060001P0001,885975,SAP_WFRT,2/26/2019,4:36:14 PM,,,,,U,EN,000,
SETS,01060001P0001,885976,SAP_WFRT,2/26/2019,4:36:15 PM,,,,,U,EN,000,
SETS,01060001P0001,885978,SAP_WFRT,2/26/2019,4:36:15 PM,,,,,U,EN,000,
SETS,01060001P0001,885979,SAP_WFRT,2/26/2019,4:36:15 PM,,,,,U,EN,000,
SETS,01060001P0001,885988,SAP_WFRT,2/26/2019,4:36:19 PM,,,,,U,EN,000,
